This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
7a54acbb52ca12a181d713cc11a2848e03b34d3775a850747951fa91cea7aa36 4 0 0 0
d747f790e81b5bc3318a741a8a655977715f53f3b529e485facf544dc37a62dd 8 0 0 0
33e8f4d0490e20c328d42930872be20a81c0d2c13dad25187c7fcf700841741b 14 0 0 0
3049de141897ce9738e18a3cf1b21505148e5d2472a1682a5e167fb79a015ba3 61 0 0 0
aa74126eafaf2abe9f2e14057b26f3aad67c49e18c9b19775cbcea8b2dfe9103 94 0 0 0
9f244a793e647278c7323652b9d8d2738d630fdcc7b614662a9c3009a5beeb20 185 0 0 0
f0fedab9f7d7005f3c6906f5f514e71b468ab1837d146b1e87819bd2c9e06f13 65 0 0 0
f4bc730d6eadd754c5b9ab157959576754bc14292be6e379785631befa49ad77 1 0 0 0
734f8ec4c1b78f6ec4ec31a25ea4bbd21a41b472f06ce99e7c0cad9bfddac299 4 0 0 0
1cea2f0eadc9bd0a0412624c2e79295f554f774f8b43cc9e77a41e6976673cf4 14 0 0 0
7a41b23c0a9b7a729a1ea25a2870f892d0978973f1a4f04229e8e9ddbfc6a4ec 1 0 0 0
de713b062993f842c58fa81197a49343b0a3eee7b5ca05154bd62db0b1decd3a 14 14 196 62
c7f7c05ea316954a39e4a4b6bcef0a174d54d957b4c4af50c2662eb192e353be 310 0 0 0
8bfb37553f4267543080c35bd7a43435af0a5f56d4fc551d72014d65ff632087 3 3 160 10
3023ce77ef02e8a27cb22151b9d4fe75297507df0bf4b627ebde1c1c9a97f8a0 1936 1935 1858714 1710478
ca4b746a71d73b860fba584c18b4e6f2d6f433239dc625009adc7aa242f2df4c 9 9 3242 1612
d8ef9b1e80f0a5a4114d92a7943c9cb7f8b921272a9e55ec88f79a5bcf2ad533 6 6 4572 3058
d704a7a2fae64c29bc9f1e6a13781f9ed04d88ed56b12af45fb5d028ffa76f51 115 0 0 0
112d838d7eef9b7803129a7dd6b4d3235d42f4a81c9428d26f0f36bf4c4ff02a 207 207 32352 22738
e354c70a48c29e8314f7b18f8fb34962261a2a6d29747f5cf450dca0a5e55a25 1 0 0 0
f06f7b437f3db45366cd6f4fa0ca244a65a5e2e0359953ecb343340410012be0 29 29 826 164
f2c3d4ce1f5ed76dfdc78a928fdee7382a91e41f255c861caf359143d622959d 30 30 2564 90
68d004689c3b74409333cacbba842f8cb8bfce527a466fec35abfd66937beb2e 5849 746 54509 38811
74513b31629b36f5f7512dcec9ed8661646bd06d3be9cb685a91a173b01c68dc 21 21 252 47
d310a57dd75db1f5407303a32fa933e3ea64be83edb0a11b4309bb53d164abdb 231 51 1244 436
a6861557102253a7c080ba91d729fd28bf84bdb37b1ad696c8979d3ea7ad9cd6 8 8 595 33
5e4bea85ea9f811c1e296fdbdc3dd367e0f93296f51229ce2012364e2be9f674 4 4 3666827 1
c69520359683fcc8b2970b611dd576e582dba729a822e36abb938b550f6e1fde 19 19 5230 3475
